"Number_Employees","Org_Biz_Sector","Job_Role","Cyber_Security_Importance","Useful_Metprev1","Useful_Metprev2","Useful_Metprev3","Useful_Metprev4","Useful_Metprev5","Useful_Metprev6","Useful_Metprev7","Useful_Metdet1","Useful_Metdet2","Useful_Metdet3","Useful_Metdet4","Useful_Metdet5","Useful_Metdet6","Useful_Metdet7","Useful_Metres1","Useful_Metres2","Useful_Metres3","Useful_Metres4","Useful_Metrec1","Useful_Metrec2","Useful_Metrec3","Useful_Metrec4","Useful_Metrec5","Useful_Metrec6","Useful_Metrec7","Useful_Metrec8","Share_Metprev1","Share_Metprev2","Share_Metprev3","Share_Metprev4","Share_Metprev5","Share_Metprev6","Share_Metprev7","Share_Metdet1","Share_Metdet2","Share_Metdet3","Share_Metdet4","Share_Metdet5","Share_Metdet6","Share_Metdet7","Share_Metres1","Share_Metres2","Share_Metres3","Share_Metres4","Share_Metrec1","Share_Metrec2","Share_Metrec3","Share_Metrec4","Share_Metrec5","Share_Metrec6","Share_Metrec7","Share_Metrec8","Share_Information1","Share_Information2","Share_Information3","Share_Information4","Share_Information5","Share_Information6","Share_Information7","percentbudget","anondata11","knowledgeofdevices11","costsharing11","isaparticipant11","other","BenefitsOfSharingWithISA","Incentive1","Incentive2","Incentive3","Incentive4","Incentive5","Barrier1","Barrier2","Barrier3","Barrier4","Barrier5"
"51 TO 100","Information Technology","Technology Professional",2,4,4,5,5,5,4,4,3,4,3,3,4,3,3,4,3,3,4,3,4,4,4,4,3,4,4,2,2,4,4,2,2,2,2,2,4,2,4,2,2,2,4,2,4,4,4,4,4,2,2,2,4,1,1,4,1,2,2,4,1,1,0,0,0,0,2,5,4,1,2,3,1,2,3,4,5
"> 250","Other","Security Professional",1,4,4,2,4,4,5,5,5,5,2,3,1,5,5,5,3,2,3,4,4,4,5,5,2,3,5,2,2,3,4,2,2,2,5,5,2,4,2,2,3,4,5,3,3,4,3,1,1,3,3,2,5,1,2,5,2,3,1,1,6,1,0,0,0,0,1,5,1,3,4,2,2,3,4,5,1
"51 TO 100","Information Technology","Managing Director",1,2,4,5,5,3,4,2,3,5,5,3,3,3,4,4,3,3,3,5,5,3,3,5,4,4,5,4,3,4,3,3,2,2,2,5,5,5,3,3,3,2,2,4,2,4,2,4,4,2,4,4,3,1,1,2,1,1,1,3,5,1,1,1,0,0,1,4,1,2,5,3,1,3,4,5,2
"> 250","Electronics","Technology Professional",3,4,4,4,5,3,4,5,5,5,4,3,4,4,4,5,3,4,5,5,5,4,4,3,4,4,4,3,3,2,3,4,4,4,3,4,2,3,2,3,3,2,2,2,3,3,2,2,2,4,4,4,4,2,2,3,4,3,2,3,3,1,0,0,0,0,3,3,2,4,1,5,1,3,4,5,2
"> 250","Information Technology","Technology Professional",2,5,4,4,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,5,0,1,0,1,0,2,3,2,5,1,4,3,4,5,2,1
"> 250","Telecoms","Security Professional",1,4,3,4,5,4,5,4,4,4,3,4,4,4,4,3,4,3,3,5,5,4,4,3,3,4,4,2,2,3,3,3,5,5,4,4,4,2,4,4,3,2,3,3,3,3,2,2,2,4,4,3,5,1,2,3,3,4,1,1,6,1,0,1,1,0,4,3,4,1,5,2,1,5,3,4,2
"11 to 50","Information Technology","Technology Professional",2,5,5,5,3,4,4,4,3,3,3,3,4,3,4,3,3,4,4,4,4,5,5,4,4,4,4,2,2,4,4,4,4,4,4,2,2,2,4,2,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,4,2,3,2,4,2,1,0,1,0,0,2,5,1,2,3,4,1,2,3,5,4
"> 250","Telecoms","Technology Professional",2,4,2,4,4,4,3,4,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,1,3,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,1,0,2,4,2,1,3,5,1,3,4,5,2
"> 250","Business & Investments","Manager",1,4,5,4,5,4,3,3,2,4,5,2,4,4,4,5,4,4,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,1,5,1,1,1,2,1,5,5,1,1,5,1,1,2,5,3,1,1,0,1,0,2,4,1,5,2,3,1,5,3,4,2
"> 250","Information Technology","Security Professional",2,5,3,4,4,5,5,4,4,3,4,5,5,2,3,4,3,3,4,4,3,4,5,4,5,4,5,2,3,2,3,2,1,2,2,2,1,3,2,3,2,1,2,2,2,2,3,4,3,4,2,1,1,1,2,2,2,3,1,2,3,1,1,1,0,0,2,2,1,3,4,5,1,4,2,5,3
"51 TO 100","Telecoms","Manager",2,4,4,3,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,3,3,3,4,4,4,4,2,2,2,4,2,2,2,4,4,4,2,4,4,4,4,4,4,2,4,4,2,2,2,2,2,2,2,2,4,2,4,2,4,3,1,0,1,0,0,1,4,2,1,3,5,1,3,4,5,2
"51 TO 100","Information Technology","Manager",3,5,3,5,5,5,5,5,2,4,3,5,4,4,3,5,3,3,5,3,3,3,3,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,2,2,3,2,5,2,5,5,5,5,3,5,5,5,5,3,3,5,3,4,1,1,2,1,1,1,1,0,1,5,1,4,3,2,3,2,4,5,1
"< 10","Business & Investments","Security Professional",1,5,1,2,2,3,4,4,2,4,5,3,5,2,2,2,4,5,3,5,2,3,3,5,2,4,5,1,5,3,3,4,4,4,4,5,3,4,3,2,3,3,4,3,4,4,3,3,2,3,3,3,5,1,1,4,1,3,3,3,2,1,0,1,1,0,4,1,4,5,2,3,4,5,2,3,1
"> 250","Information Technology","Business Owner",1,4,5,5,4,5,5,5,4,5,5,5,5,4,3,3,4,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,2,5,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,2,2,4,4,4,2,2,1,0,0,0,0,5,4,3,5,2,1,2,4,3,5,1
"101 T0 250","Electronics","Manager",1,4,5,4,5,5,5,5,4,5,5,3,5,4,5,5,NA,3,4,5,5,5,4,4,4,4,5,4,4,4,2,3,1,4,4,4,5,5,4,4,4,2,2,2,2,4,4,4,4,2,3,3,3,2,2,5,5,5,2,2,5,0,0,0,1,0,4,4,5,1,2,3,5,1,3,4,2
"101 T0 250","Information Technology","Manager",2,5,5,4,4,5,5,5,4,5,5,5,5,5,4,3,4,5,3,3,3,5,5,5,5,5,2,2,1,3,1,1,3,3,3,2,2,2,1,1,1,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,1,0,1,2,1,3,4,5,2,1,3,4,5
"51 TO 100","Information Technology","Manager",2,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,0,0,0,1,0,2,5,4,1,3,2,1,3,5,4,2
"> 250","Information Technology","Technology Professional",1,5,5,5,3,3,4,4,4,5,4,5,5,5,4,5,4,4,4,5,5,2,2,5,5,5,5,2,4,5,5,5,4,4,1,5,4,2,2,1,2,1,2,1,2,2,1,2,2,4,1,1,2,1,1,4,1,2,1,1,5,1,0,0,1,0,2,3,1,4,5,2,4,3,2,5,1
"101 T0 250","Electronics","Manager",2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,5,5,5,5,5,5,4,4,4,4,5,5,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,3,0,0,0,1,0,2,5,1,2,3,4,3,4,1,5,2
"51 TO 100","Business & Investments","Manager",1,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,2,1,2,2,2,2,3,3,2,2,2,2,2,2,2,6,0,0,0,1,0,2,5,1,2,4,3,3,2,4,5,1
"> 250","Business & Investments","Security Professional",2,5,5,4,4,4,4,4,3,3,2,2,2,2,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,6,0,0,0,1,0,2,4,3,2,1,5,1,2,3,4,5
"> 250","Information Technology","Manager",2,4,5,5,3,4,5,5,4,5,5,4,5,5,5,5,3,3,4,4,5,4,5,5,4,4,5,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,3,2,2,1,3,3,2,2,2,1,2,3,0,0,0,1,0,2,3,1,5,2,4,3,1,2,4,5
"> 250","Business & Investments","Manager",1,3,4,5,5,5,4,5,4,4,4,4,4,4,3,5,2,2,2,5,5,4,4,4,4,4,5,1,1,2,4,1,1,1,1,1,1,1,1,1,4,1,4,4,1,1,1,4,4,1,4,1,1,1,2,2,2,2,2,1,4,1,0,1,0,0,2,3,1,4,2,5,3,5,1,2,4
"> 250","Telecoms","Security Professional",1,5,3,4,4,5,5,3,3,2,2,2,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,2,2,3,5,4,5,5,5,5,4,3,3,3,2,4,4,4,4,3,3,4,4,4,3,3,4,2,4,4,3,2,5,5,2,1,0,0,1,0,3,3,1,4,2,5,3,5,1,2,4
"> 250","Information Technology","Security Professional",2,5,3,3,2,3,3,3,3,3,3,3,4,2,3,3,3,3,4,3,4,3,3,3,3,3,4,2,2,3,3,3,3,3,2,3,3,2,2,2,3,3,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,0,0,0,0,3,5,1,3,2,4,4,2,5,3,1
"> 250","Telecoms","Security Professional",1,5,3,4,4,5,5,3,3,2,2,2,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,2,2,3,5,4,5,5,5,5,4,3,3,3,2,4,4,4,4,3,3,4,4,4,3,3,4,2,4,4,3,2,5,5,2,1,0,0,1,0,3,3,1,2,4,5,1,4,3,5,2
"11 to 50","Telecoms","Security Professional",1,4,3,4,4,3,4,4,3,3,2,2,2,2,3,3,3,3,3,4,4,4,4,3,4,4,4,2,2,3,5,4,4,4,4,4,5,4,4,3,2,2,2,3,3,2,2,3,2,3,3,3,3,2,4,4,3,2,5,5,2,1,0,0,1,0,2,5,2,3,1,4,1,3,4,5,1
"101 T0 250","Information Technology","Manager",1,4,3,3,3,5,5,5,2,3,3,4,5,3,4,3,3,3,4,5,3,5,5,4,4,4,4,4,4,4,4,2,2,4,5,4,2,4,2,2,2,2,4,2,2,4,2,2,4,4,1,1,1,2,4,4,2,2,2,4,5,0,0,0,1,0,1,5,2,3,1,4,1,3,4,5,2
"101 T0 250","Business & Investments","Manager",2,3,3,4,3,4,4,4,3,3,3,3,3,2,3,4,4,4,3,4,3,4,4,3,4,4,4,2,2,4,2,2,2,2,4,2,2,2,2,2,4,4,2,2,4,4,4,2,2,2,2,4,2,2,2,4,2,4,2,2,5,1,0,1,1,0,1,5,1,3,2,4,1,3,4,5,2
"101 T0 250","Information Technology","Technology Professional",1,4,4,5,4,5,5,5,4,5,4,5,5,4,4,4,4,5,5,5,5,4,4,4,4,4,5,1,4,2,4,2,1,1,5,1,1,1,5,2,1,1,5,4,1,1,1,1,1,5,4,5,5,1,1,3,1,1,1,1,2,0,1,0,0,0,3,2,1,4,5,3,4,5,3,2,1
"> 250","Information Technology","Security Professional",2,4,4,4,4,4,4,4,5,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,2,4,4,4,4,4,4,2,2,2,2,2,4,4,5,5,5,5,5,4,4,4,4,2,4,2,2,2,2,2,2,2,2,1,0,0,0,0,2,5,2,3,1,4,2,3,4,5,1
"11 to 50","Information Technology","Business Owner",2,2,2,2,2,4,4,4,2,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,2,2,4,4,4,4,4,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,1,1,0,0,1,0,2,1,4,2,5,3,2,3,4,5,1
"51 TO 100","Telecoms","Business Owner",2,4,3,3,4,3,3,4,3,3,3,5,4,3,4,4,3,4,3,4,4,4,4,4,4,3,3,2,3,2,2,2,2,3,2,2,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,4,1,1,1,0,0,2,4,1,5,2,3,1,3,2,5,4
"101 T0 250","Information Technology","Manager",1,2,3,2,4,4,3,5,4,4,4,3,5,4,5,4,3,4,3,4,4,3,4,4,3,4,4,4,4,4,2,2,2,2,4,4,2,4,4,4,2,4,2,4,2,4,2,4,3,3,3,4,3,2,2,4,2,4,2,4,5,0,0,0,1,0,1,3,4,1,2,5,2,3,4,5,1
"51 TO 100","Business & Investments","Security Professional",1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,1,1,5,3,5,1,1,5,5,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,3,5,1,1,1,1,4,1,0,0,0,0,1,4,1,5,2,3,1,2,4,3,5
"101 T0 250","Other","Manager",1,5,5,4,4,5,5,5,4,4,4,4,4,4,5,5,4,4,4,4,5,4,4,5,4,4,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,3,0,0,1,0,0,1,2,3,1,4,5,1,4,3,5,2
"< 10","Information Technology","Business Owner",1,4,2,5,5,4,5,5,3,4,4,4,5,5,4,4,4,4,4,4,5,4,4,5,5,5,5,1,2,2,3,3,3,3,3,4,4,3,4,4,4,5,4,4,4,3,2,3,3,4,3,4,5,1,1,2,2,3,2,2,1,1,0,0,0,0,2,1,2,3,5,4,2,4,5,3,1
