"Org_Biz_Sector","Number_Employees","Job_Role","ICT_Dependency","SupplyChain_Dependency","Cyber_Security_Importance","Cyber_Threat_Sharing_Importance","Useful_Number_Of_Attacks","Useful_Mean_time_to_discovery","Useful_Mean_Time_recovery","Useful_Total_Cost_incidients","Useful_PercentageOfAttacksDisrupted","Useful_PercentageSecurityComplaints","Useful_PercentageSysSubjectedToVulnScans","Useful_PercentageSysVulnStatusOpen","Useful_SpeedToPatchSystems","Useful_Length0DayVuln","Useful_PercentageSysWithKnownVuln","Useful_PercentageSysWithUpdatedAvSwMalware","Useful_PercentageSysWithSecurityTestingCoverage","Useful_PercentageSysWithSecurityComplaince","Useful_PercentageOfTrainedSecurityPersonnel","Useful_LevelCyberSecurityAwareness","Useful_PercentageUnauthorizedNetworkAccess","Useful_LengthOfTimeToReportUnauthorizedChanges","Useful_NumberOfSystemError","Useful_NumberOfDataLeakages","Useful_NumberOfDataLeakagesCriticalBusinessUnits","Useful_PercentageMaliciousClicksInClickStream","Useful_PercentageDownloadsFromMaliciousSites","Useful_SecurityAssessmentTimeInterval","Useful_PercentageSystemsWithRiskAssessmentCoverage","Share_Number_Of_Attacks","Share_Mean_time_to_discovery","Share_Mean_Time_recovery","Share_Total_Cost_incidients","Share_PercentageOfAttacksDisrupted","Share_PercentageSecurityComplaints","Share_PercentageSysSubjectedToVulnScans","Share_PercentageSysVulnStatusOpen","Share_SpeedToPatchSystems","Share_Length0DayVuln","Share_PercentageSysWithKnownVuln","Share_PercentageSysWithUpdatedAvSwMalware","Share_PercentageSysWithSecurityTestingCoverage","Share_PercentageSysWithSecurityComplaince","Share_PercentageOfTrainedSecurityPersonnel","Share_LevelCyberSecurityAwareness","Share_PercentageUnauthorizedNetworkAccess","Share_LengthOfTimeToReportUnauthorizedChanges","Share_NumberOfSystemError","Share_NumberOfDataLeakages","Share_NumberOfDataLeakagesCriticalBusinessUnits","Share_PercentageMaliciousClicksInClickStream","Share_PercentageDownloadsFromMaliciousSites","Share_SecurityAssessmentTimeInterval","Share_PercentageSystemsWithRiskAssessmentCoverage","Share_MitigationStrategies","ShouldShareCyberThreatInSupplyChains","ObstaclesToSharing","Incentives_ProtectBusinessIntegrity","Incentives_NDA","Incentives_AnonymityOfSender","Incentives_CostReductionInMitagatingBreaches","Inentives_StandardFormartForSharing","Incentives_SharedCostOfSharing","BenefitsOfSharingWithISA"
"Hospitality & Travel","> 250","Information Security Professional",5,5,5,5,5,4,4,5,4,5,4,4,5,5,4,5,4,5,5,4,5,5,5,4,5,5,5,4,5,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,1,2,1,1,1,1,1,"Yes","Mass Panic is an obstacle to sharing Cyber threat",1,1,0,0,1,0,4
"Real Estate","< 10","Managing Director",4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Yes","",1,0,1,0,0,0,4
"Construction","> 250","Manager",3,5,3,3,5,3,3,3,4,3,3,3,5,5,5,5,5,3,5,5,3,5,5,5,5,1,3,3,1,3,3,3,5,3,2,3,2,3,2,4,4,4,3,2,3,3,1,1,2,2,2,3,2,5,2,"Yes","Personal Dta & Information",1,0,0,0,0,0,5
"Police","> 250","Information Security Professional",5,5,5,4,4,5,5,4,5,5,4,5,4,5,5,4,5,4,3,2,4,4,3,5,5,5,5,4,4,3,5,4,2,3,4,3,3,4,5,3,4,3,3,1,2,1,3,4,2,2,5,5,3,2,5,"Yes","Have a cler ISA with types of information to be shared",0,1,1,0,1,0,5
"Law Enfocement","> 250","Information Security Professional",5,4,4,3,2,5,5,1,2,4,3,3,3,2,5,4,4,5,4,5,4,3,2,4,4,3,2,3,3,1,3,3,1,3,3,3,3,3,3,1,1,4,4,4,4,3,3,3,3,3,3,3,3,4,4,"Yes","",1,1,0,1,1,0,4
"IT Services","11 TO 50","Information Security Professional",5,2,3,5,3,5,5,5,4,2,2,2,2,2,3,3,2,2,1,2,4,2,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,"No","Too Much Information & Repuational Damage",0,0,1,1,1,0,5
"Data & Information Services","> 250","Information Security Professional",5,5,5,4,5,4,4,5,4,4,2,3,3,5,4,4,5,3,3,3,3,2,2,3,4,3,2,2,4,4,3,4,3,3,4,3,3,3,4,2,2,3,3,4,3,2,3,3,3,2,3,4,4,3,5,"Yes","Not Having an Information Sharing Agreement In place",0,1,1,1,1,0,2
"Arrospace & Defence","> 250","Student",4,5,5,3,5,5,4,5,5,3,3,3,4,5,2,3,3,3,3,4,5,4,4,3,4,4,4,4,4,1,2,2,3,3,2,3,3,2,5,4,4,3,2,3,3,2,3,4,3,3,2,3,3,3,3,"Yes","",1,1,1,0,1,1,3
"Financial Services","> 250","Information Security Professional",5,4,5,4,5,5,5,5,5,5,4,2,4,3,1,5,4,5,3,4,2,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Yes","",1,1,1,0,0,0,5
"Infosec Consulting","< 10","Business Owner",4,1,3,3,3,3,3,3,3,4,5,3,3,5,3,3,3,3,5,3,3,3,3,4,3,3,3,3,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,1,3,5,4,5,5,5,5,5,5,5,"Yes","Traditional Commerical Secrecy",0,0,0,0,0,0,0
"Law Enfocement","> 250","Information Security Professional",4,3,5,2,4,5,3,5,5,5,5,5,5,3,5,5,5,5,3,4,5,5,4,5,5,4,4,5,5,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,2,"Yes","Information Silos, Reluctance to disclose information that could be intepreted a being negative",1,1,1,0,0,0,3
"IT Services","51 TO 100","Information Security Professional",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Yes","Trust and Organizational security of organizations in environment",0,0,1,1,1,0,5
"IT Services","> 250","Sales & Business Dev",4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Yes","An NDA",1,1,1,0,1,1,3
"IT Services","< 10","Business Owner",5,3,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Yes","Trust",1,1,1,1,1,1,4
"IT Services","< 10","Information Security Professional",5,4,5,5,4,5,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Yes","Confidentiality of shared information",1,1,1,1,1,1,5
"Financial Services","> 250","Information Security Professional",5,3,5,5,5,4,4,5,4,4,4,4,5,4,5,4,4,4,4,4,4,4,3,3,4,4,5,4,4,4,2,2,1,4,2,2,1,5,3,1,3,3,3,5,5,4,3,3,3,3,4,3,2,1,1,"Yes","Trust within environment",1,1,1,1,1,1,4
"Arrospace & Defence","> 250","Information Security Professional",5,5,5,4,1,4,5,2,5,3,3,3,5,4,3,4,4,3,4,5,3,3,3,5,5,3,3,3,3,4,2,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,"Yes","Trust",0,1,0,0,0,0,4
"Arrospace & Defence","> 250","Manager",4,4,4,2,2,4,4,4,2,4,2,3,4,2,4,4,3,3,4,4,3,4,2,4,5,2,4,4,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,"Yes","Trust",0,1,1,0,0,0,2
"Arrospace & Defence","> 250","Information Security Professional",4,4,4,2,2,4,4,2,2,5,5,3,4,2,5,4,2,4,4,2,3,4,1,4,3,2,4,4,4,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,"Yes","",0,1,1,0,0,0,2
"Education","> 250","Information Security Professional",5,3,4,4,3,3,3,2,3,3,5,3,3,2,3,2,2,2,4,3,2,3,2,3,3,3,3,4,2,3,2,3,3,3,2,2,3,2,3,5,3,3,3,2,1,3,1,3,2,1,3,3,3,3,2,"Yes","capability to cooperate",0,1,1,0,1,0,3
"Real Estate","> 250","Director",4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"No","",1,0,0,0,0,0,1
"Data & Information Services","51 TO 100","Data Analyst",4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,3,4,5,4,3,4,5,4,4,4,4,1,2,1,5,3,4,2,1,2,1,1,3,1,3,4,1,4,3,1,1,3,2,1,3,3,1,"Yes","",1,1,1,0,1,1,3
"IT Services","< 10","Business Owner",5,2,5,4,4,5,4,2,4,1,2,4,5,3,2,4,3,3,4,3,5,3,3,5,3,3,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"No","",1,1,0,0,0,0,3
"Education","101 to 250","Data Analyst",5,5,4,4,5,5,3,3,5,4,5,5,5,4,5,4,4,5,4,5,4,5,4,5,4,4,3,4,5,4,4,1,1,2,2,3,1,2,3,3,3,3,1,1,1,1,3,1,1,3,1,1,1,1,1,"Yes","",1,1,1,0,1,1,4
"Education","> 250","Professor",4,1,3,3,4,4,4,4,4,3,1,4,4,3,5,3,3,3,3,5,3,5,3,3,3,3,3,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,"Yes","Confidentiality , Trust",1,1,1,0,0,1,4
"Education","> 250","Data Analyst",3,2,4,4,4,4,3,5,3,2,4,3,4,4,3,3,3,3,5,5,3,3,5,4,4,3,3,3,3,3,1,4,1,3,2,3,3,4,4,4,5,4,3,2,5,2,2,1,2,2,3,3,3,2,4,"Yes","Confidentiality , Trust",1,1,1,0,1,1,5
"Arrospace & Defence","< 10","Business Owner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes","",1,0,0,0,0,0,1
"Financial Services","> 250","Information Security Professional",5,3,5,5,5,5,5,4,5,5,3,5,4,5,1,5,5,5,5,3,5,5,4,5,4,5,5,5,5,1,3,3,3,3,3,2,3,5,1,1,3,2,2,5,4,2,3,1,1,3,2,2,2,1,2,"Yes","Negativity",1,1,1,0,1,1,5
"IT Services","> 250","Information Security Professional",5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"No","",1,1,1,1,0,0,5
"Financial Services","> 250","Information Security Professional",5,5,5,4,3,3,4,4,4,3,2,3,4,4,2,5,3,4,3,3,4,3,3,3,4,4,5,4,3,4,4,3,4,2,5,3,2,4,4,1,1,1,1,4,4,2,3,4,3,2,3,3,1,2,5,"Yes","Trust",1,1,1,1,1,1,4
"Government","> 250","Manager",4,2,5,5,5,5,5,5,5,5,2,5,5,5,2,5,5,4,4,2,5,3,5,5,4,5,5,5,5,1,2,2,1,1,5,3,1,2,2,1,1,1,1,2,3,1,3,1,1,2,1,1,1,1,1,"No","Not relevant",1,1,0,1,0,0,3
